Feature,Correlation,P_value,AUC,Odds_Ratio,Significant
item_50868_count,0.3241161463015298,0.0001116563552482533,0.8515748031496063,1.9135418854616912,True
item_50893_count,0.3338693459819024,8.068893654740636e-05,0.8512096774193548,2.0241938653485585,True
item_51006_max,0.4331150602919161,1.2486713421331952e-07,0.8448818897637795,2.579423098261969,True
item_50960_count,0.329061225844225,9.743555347376224e-05,0.8444,2.0090219847763295,True
item_50970_max,0.4282334064779884,2.4486545657341465e-07,0.835483870967742,2.8186045390098498,True
item_50970_last,0.41254762782030324,7.297404838497484e-07,0.8326612903225806,3.1927086010589987,True
item_51006_mean,0.3756951603253411,6.0691530695285115e-06,0.8267716535433071,2.602826851202778,True
item_50868_pct_abnormal,0.4194350040721483,3.367169328055553e-07,0.825984251968504,2.3719580143010193,True
item_50970_mean,0.4245473665272763,3.180803570182366e-07,0.8181451612903226,3.2141441852137014,True
item_50912_last,0.27020598368000587,0.0014064825267569591,0.8181102362204725,1.8036758635219334,True
item_50912_max,0.2605858266239264,0.00210186637695655,0.8118110236220473,1.699491071595106,True
item_50912_std,0.17049947485107406,0.07493701080846259,0.8039999999999999,1.3673856296415334,False
item_50912_mean,0.22331141270387408,0.008714529258356694,0.8031496062992126,1.5930490453345572,True
item_50971_max,0.3105206368726122,0.00021000125669297436,0.7891911238367931,2.3917785854991376,True
item_50983_count,0.2861941372099826,0.0006667344052320588,0.7820329277022189,1.796720065392748,True
item_50902_count,0.28574559972085023,0.0006804491232246759,0.7816750178954903,1.7957439346634585,True
item_50971_count,0.2834892845730965,0.000753456815678654,0.7806012884753042,1.787014904574039,True
item_51265_pct_abnormal,0.27231505386514093,0.0015191752967427447,0.7743902439024389,2.4604699223723965,True
item_51006_pct_abnormal,0.26665786883927517,0.0016338910421951809,0.7724409448818899,2.727073620754897,True
item_51006_min,0.2611427847717636,0.0020543618381407927,0.7708661417322835,1.9023897685590956,True
item_50960_max,0.08315834880117268,0.3376141411925505,0.7707999999999999,1.2059224938972626,False
item_50912_min,0.16031675162741277,0.06129113510240164,0.7669291338582678,1.4246554264548814,False
item_51006_std,0.3500092337481469,0.00017805406293962647,0.7650000000000001,2.0107102885571595,True
item_50882_pct_abnormal,0.2322360332555512,0.006318337528990445,0.7566929133858267,2.0075141705646473,True
item_50868_min,0.28217854237418993,0.000835646674721414,0.7507874015748032,2.425313125412069,True
item_51277_max,0.2469968384836506,0.004154773601353105,0.7459349593495934,1.7737772674685246,True
item_50971_pct_abnormal,0.08547639447390648,0.31885550463047624,0.7276306370794561,1.2515048393988428,False
item_50983_pct_abnormal,0.17408165961800826,0.04115011362306687,0.7244094488188976,1.5874604200329163,True
item_50931_max,0.10877405170802819,0.20577817202252643,0.724015748031496,1.3108969858702215,False
item_50971_last,0.2299390762261196,0.006666595481821844,0.7165354330708661,1.900315310526122,True
item_50902_pct_abnormal,0.19702577096102086,0.02054581213410471,0.705798138869005,1.7750410073635987,True
item_51250_max,0.1850824992918341,0.032941966638876864,0.698780487804878,1.9291200420791836,True
item_50971_mean,0.2165404343983087,0.010742115742991045,0.6972083035075161,1.911698149753724,True
item_51277_mean,0.13999426205178933,0.10801538311998997,0.6971544715447154,1.4545442227118641,False
item_50868_std,0.13316501373912343,0.16547928659510674,0.689,1.4230841734824922,False
item_50960_mean,0.17861247524291268,0.0382012097566066,0.6876000000000001,1.616409888628588,True
item_51221_std,0.1902972312732565,0.04644897873412908,0.6849999999999999,1.734771143569588,True
item_50893_std,0.31210362508398715,0.001963915827317377,0.6813953488372093,2.074778077996066,True
item_51301_max,0.011469781982110051,0.8957502472397415,0.6813008130081302,1.0375416732899043,False
item_51277_std,0.2814483962117821,0.0031699838016201153,0.676530612244898,1.6767983706272755,True
item_51277_last,0.11051945929812382,0.20536101172910878,0.6760162601626016,1.3607852130500988,False
item_50960_pct_abnormal,0.16931920090793778,0.04962101379065375,0.6704,1.5100690728591142,True
item_50983_std,0.10715869835358442,0.26516634344986323,0.668,1.2931727304178697,False
item_50970_min,0.23417757184919902,0.006461747923139045,0.6633064516129032,1.952283739444474,True
item_50971_std,0.14689399818584126,0.12568105851370073,0.659,1.5396302008518283,False
item_50931_mean,0.10601457241981334,0.2175843288718013,0.65,1.3710848309633632,False
item_51301_std,0.011265927559783426,0.9078742460270897,0.6489795918367347,1.0341994063635849,False
item_51250_std,0.2050537004002204,0.033265797352340844,0.6459183673469387,1.6820299078289214,True
item_51248_max,0.12801648742961272,0.14197621149562117,0.641869918699187,1.6414767414356015,False
item_50970_pct_abnormal,0.12384423687776713,0.153965253252736,0.6411290322580645,1.54671045587018,False
item_51277_min,0.08482086953209933,0.3316881902384476,0.6345528455284553,1.2735928215841519,False
item_51279_std,0.08115626703109818,0.4037373075049531,0.6326530612244898,1.2614532195299772,False
item_50970_std,0.1821208119971735,0.07732889451704163,0.631764705882353,1.529404237737661,False
item_50882_std,0.11452017968848155,0.23353546484815513,0.631,1.3450426301396992,False
item_51222_std,0.1003208827036268,0.30158399119426016,0.6285714285714286,1.3454215645835161,False
item_51250_mean,0.11627594820129676,0.18258841782430266,0.6247967479674797,1.498807204393915,False
item_51277_pct_abnormal,0.07022290717233015,0.42186042246623573,0.6239837398373983,1.2532919211316964,False
item_51250_last,0.13725700358645027,0.11515280436463389,0.6235772357723577,1.6315711730411413,False
item_50931_std,0.028016220505076864,0.7787727901798275,0.6161290322580646,1.0816164793175655,False
item_51248_std,0.03943405299973221,0.6853306920317089,0.6153061224489796,1.1108687154255412,False
item_50893_max,0.16302514140647192,0.05982464768777746,0.6068548387096774,1.6189945399888015,False
item_51301_mean,-0.025591287170363127,0.7699845230190087,0.5926829268292683,0.902359624661625,False
item_51249_max,0.08676995216698469,0.3206570129126232,0.5902439024390245,1.363515946552267,False
item_50960_std,-0.01351433555748161,0.8916946327888418,0.5882978723404257,0.9565523278797156,False
item_50960_last,0.10142584424636716,0.24178990601674819,0.5868,1.3678309688445383,False
item_51301_pct_abnormal,0.10448177738618075,0.23136598964969896,0.5813008130081301,1.4496845289368074,False
item_51248_last,0.08520266759040163,0.32950845961043207,0.5784552845528456,1.3808618642275305,False
item_51248_mean,0.08546594608765043,0.32801072728562836,0.5764227642276423,1.378649414464933,False
